agent_id,current_link,current_link_enter_time,current_time,link_geometry,agent_position,duration
1000015,26261,3746.0,4200,"LINESTRING(-122.8728297 38.1108823, -122.8716304 38.110873)",POINT (-122.87223005 38.11087765),8.0
1000009,8186,3751.0,4200,"LINESTRING(-122.873278 38.110863, -122.8728297 38.1108823)",POINT (-122.87305385 38.11087265),3.0
1000023,9376,3751.0,4200,"LINESTRING(-122.856108 38.0985144, -122.855656 38.0986514)",POINT (-122.855882 38.0985829),4.0
1000017,24175,3748.0,4200,"LINESTRING(-122.855656 38.0986514, -122.8548368 38.0981257)",POINT (-122.8552464 38.09838855),7.0
1000010,173,3754.0,4200,"LINESTRING(-122.856534 38.1011265, -122.8563104 38.1009793)",POINT (-122.8564222 38.1010529),2.0
1000012,16226,3753.0,4200,"LINESTRING(-122.8589932 38.0998391, -122.858824 38.09986, -122.858428 38.099598)",POINT (-122.8587006604843 38.09976084827097),5.0
1000004,20728,3755.0,4200,"LINESTRING(-122.8771408 38.1110372, -122.8769449 38.1110805, -122.87627 38.1111711)",POINT (-122.8767065372299 38.11111056368846),6.0
1000017,21597,3755.0,4200,"LINESTRING(-122.8548368 38.0981257, -122.8541003 38.0985701)",POINT (-122.85446855 38.0983479),7.0
1000016,31309,3750.0,4200,"LINESTRING(-122.857781 38.098373, -122.856448 38.098556, -122.856108 38.0985144)",POINT (-122.8569447580435 38.09847884639131),12.0
1000003,37862,3731.0,4200,"LINESTRING(-122.8651627 38.1091492, -122.8647918 38.1088728, -122.864374 38.1085086, -122.8639754 38.1081192, -122.863699 38.1078233, -122.8633739 38.1074358, -122.8632233 38.1072011, -122.8631 38.1069525, -122.8630336 38.1068394, -122.8629076 38.1067191, -122.8626994 38.1065637, -122.8624454 38.1063619, -122.8623115 38.1062178, -122.8620082 38.105654)",POINT (-122.8634905430301 38.10747839330791),31.0
1000009,26261,3754.0,4200,"LINESTRING(-122.8728297 38.1108823, -122.8716304 38.110873)",POINT (-122.87223005 38.11087765),8.0
1000023,24175,3755.0,4200,"LINESTRING(-122.855656 38.0986514, -122.8548368 38.0981257)",POINT (-122.8552464 38.09838855),7.0
1000008,6923,3761.0,4200,"LINESTRING(-122.8617356 38.0997691, -122.8615401 38.1000468)",POINT (-122.86163785 38.09990795),3.0
1000004,7831,3761.0,4200,"LINESTRING(-122.87627 38.1111711, -122.8758352 38.1112101)",POINT (-122.8760526 38.1111906),3.0
1000011,32767,3751.0,4200,"LINESTRING(-122.86869085000001 38.1064959, -122.8667429 38.1068973)",POINT (-122.867716875 38.1066966),13.0
1000006,29761,3754.0,4200,"LINESTRING(-122.859316 38.098303, -122.857781 38.098373)",POINT (-122.8585485 38.098338),11.0
1000015,29799,3754.0,4200,"LINESTRING(-122.8716304 38.110873, -122.8715931 38.1107333, -122.8703214 38.1104179)",POINT (-122.87102230034 38.11059821605024),11.0
1000005,34562,3749.0,4200,"LINESTRING(-122.862154 38.097318, -122.861169 38.097433, -122.860098 38.09812)",POINT (-122.8610837719136 38.09760085891305),16.0
